Book_id,Status,Number_of_copies
1216,available,2
1216,borrowed,3
1216,lost,4
1216,damaged,3
1217,available,5
1217,borrowed,5
1217,lost,5
1217,damaged,5
1218,available,2
1218,borrowed,0
1218,lost,0
1218,damaged,1
1219,available,6
1219,borrowed,5
1219,lost,2
1219,damaged,4
1220,available,2
1220,borrowed,2
1220,lost,3
1220,damaged,1
1221,available,1
1221,borrowed,0
1221,lost,0
1221,damaged,4
1222,available,4
1222,borrowed,6
1222,lost,0
1222,damaged,3
1223,available,0
1223,borrowed,0
1223,lost,0
1223,damaged,3
1224,available,5
1224,borrowed,2
1224,lost,3
1224,damaged,5
1225,available,1
1225,borrowed,0
1225,lost,6
1225,damaged,0
1226,available,2
1226,borrowed,3
1226,lost,5
1226,damaged,0
1227,available,5
1227,borrowed,5
1227,lost,2
1227,damaged,1
1228,available,4
1228,borrowed,5
1228,lost,3
1228,damaged,0
1229,available,6
1229,borrowed,5
1229,lost,2
1229,damaged,5
1230,available,4
1230,borrowed,3
1230,lost,6
1230,damaged,4
1231,available,4
1231,borrowed,4
1231,lost,3
1231,damaged,1
1232,available,0
1232,borrowed,0
1232,lost,4
1232,damaged,2
1233,available,0
1233,borrowed,6
1233,lost,3
1233,damaged,6
1234,available,3
1234,borrowed,0
1234,lost,0
1234,damaged,0
1235,available,1
1235,borrowed,5
1235,lost,4
1235,damaged,3
1236,available,4
1236,borrowed,2
1236,lost,2
1236,damaged,2
1237,available,3
1237,borrowed,2
1237,lost,5
1237,damaged,3
1238,available,4
1238,borrowed,3
1238,lost,0
1238,damaged,3
1239,available,4
1239,borrowed,4
1239,lost,2
1239,damaged,0
1240,available,2
1240,borrowed,5
1240,lost,4
1240,damaged,0
1241,available,1
1241,borrowed,5
1241,lost,3
1241,damaged,1
1242,available,2
1242,borrowed,2
1242,lost,1
1242,damaged,1
1243,available,6
1243,borrowed,4
1243,lost,6
1243,damaged,2
1244,available,4
1244,borrowed,0
1244,lost,0
1244,damaged,3
1245,available,6
1245,borrowed,1
1245,lost,0
1245,damaged,1
1246,available,5
1246,borrowed,5
1246,lost,3
1246,damaged,5
1247,available,3
1247,borrowed,5
1247,lost,3
1247,damaged,0
1248,available,3
1248,borrowed,6
1248,lost,2
1248,damaged,3
1249,available,6
1249,borrowed,0
1249,lost,1
1249,damaged,3
